S. No;Quotation;Author
1;"Life can only be understood backwards; but it must be lived forwards.";Søren Kierkegaard
2;The function of prayer is not to influence God, but rather to change the nature of the one who prays.;Soren Kierkegaard
3;People demand freedom of speech as a compensation for the freedom of thought which they seldom use.;Søren Kierkegaard
4;Anxiety is the dizziness of freedom.;Søren Kierkegaard ,
5;People understand me so poorly that they don't even understand my complaint about them not understanding me.;Søren Kierkegaard,
6;Life is not a problem to be solved, but a reality to be experienced.;Soren Kierkegaard
7;"There are two ways to be fooled. One is to believe what isn't true; the other is to refuse to believe what is true.";Soren Kierkegaard
8;The most common form of despair is not being who you are.;Søren Kierkegaard
9;It is perfectly true, as philosophers say, that life must be understood backwards. But they forget the other proposition, that it must be lived forwards.;Søren Kierkegaard
10;"The greatest hazard of all, losing one’s self, can occur very quietly in the world, as if it were nothing at all. No other loss can occur so quietly; any other loss - an arm, a leg, five dollars, a wife, etc. - is sure to be noticed.";Søren Kierkegaard,
11;"I see it all perfectly; there are two possible situations — one can either do this or that. My honest opinion and my friendly advice is this: do it or do not do it — you will regret both.";Soren Kierkegaard,
12;What labels me, negates me.;Soren Kierkegaard
13;"Marry, and you will regret it; don’t marry, you will also regret it; marry or don’t marry, you will regret it either way. Laugh at the world’s foolishness, you will regret it; weep over it, you will regret that too; laugh at the world’s foolishness or weep over it, you will regret both. Believe a woman, you will regret it; believe her not, you will also regret it… Hang yourself, you will regret it; do not hang yourself, and you will regret that too; hang yourself or don’t hang yourself, you’ll regret it either way; whether you hang yourself or do not hang yourself, you will regret both. This, gentlemen, is the essence of all philosophy.";Søren Kierkegaard
14;The most painful state of being is remembering the future, particularly the one you'll never have.;Søren Kierkegaard
15;The Bible is very easy to understand. But we Christians are a bunch of scheming swindlers. We pretend to be unable to understand it because we know very well that the minute we understand, we are obliged to act accordingly.;Soren Kierkegaard,
16;In addition to my other numerous acquaintances, I have one more intimate confidant… My depression is the most faithful mistress I have known — no wonder, then, that I return the love.;Soren Kierkegaard,
17;What is a poet? An unhappy man who hides deep anguish in his heart, but whose lips are so formed that when the sigh and cry pass through them, it sounds like lovely music.... And people flock around the poet and say: 'Sing again soon' - that is, 'May new sufferings torment your soul but your lips be fashioned as before, for the cry would only frighten us, but the music, that is blissful.;Soren Kierkegaard,
18;"A fire broke out backstage in a theatre. The clown came out to warn the public; they thought it was a joke and applauded. He repeated it; the acclaim was even greater. I think that's just how the world will come to an end: to general applause from wits who believe it's a joke.";Soren Kierkegaard,
19;Love is the expression of the one who loves, not of the one who is loved. Those who think they can love only the people they prefer do not love at all. Love discovers truths about individuals that others cannot see;Soren Kierkegaard
20;What if everything in the world were a misunderstanding, what if laughter were really tears?;Soren Kierkegaard
21;If I were to wish for anything, I should not wish for wealth and power, but for the passionate sense of the potential, for the eye which, ever young and ardent, sees the possible. Pleasure disappoints, possibility never. And what wine is so sparkling, what so fragrant, what so intoxicating, as possibility!;Søren Kierkegaard,
22;Once you label me you negate me.;Søren Kierkegaard
23;To dare is to lose one's footing momentarily. Not to dare is to lose oneself.;Soren Kierkegaard
24;The tyrant dies and his rule is over, the martyr dies and his rule begins.;Soren Kierkegaard,
25;To venture causes anxiety, but not to venture is to lose one's self.... And to venture in the highest is precisely to be conscious of one's self.;Søren Kierkegaard
26;Face the facts of being what you are, for that is what changes what you are.;Søren Kierkegaard
27;God creates out of nothing. Wonderful you say. Yes, to be sure, but he does what is still more wonderful: he makes saints out of sinners.;Soren Kierkegaard,
28;"To cheat oneself out of love is the most terrible deception; it is an eternal loss for which there is no reparation, either in time or in eternity.";Soren Kierkegaard
29;If anyone on the verge of action should judge himself according to the outcome, he would never begin.;Søren Kierkegaard,
30;Above all, do not lose your desire to walk. Everyday, I walk myself into a state of well-being & walk away from every illness. I have walked myself into my best thoughts, and I know of no thought so burdensome that one cannot walk away from it. But by sitting still, & the more one sits still, the closer one comes to feeling ill. Thus if one just keeps on walking, everything will be all right.;Søren Kierkegaard
31;The proud person always wants to do the right thing, the great thing. But because he wants to do it in his own strength, he is fighting not with man, but with God.;Soren A. Kierkegaard
32;How did I get into the world? Why was I not asked about it and why was I not informed of the rules and regulations but just thrust into the ranks as if I had been bought by a peddling shanghaier of human beings? How did I get involved in this big enterprise called actuality? Why should I be involved? Isn't it a matter of choice? And if I am compelled to be involved, where is the manager—I have something to say about this. Is there no manager? To whom shall I make my complaint?;Søren Kierkegaard
33;Truth always rests with the minority, and the minority is always stronger than the majority, because the minority is generally formed by those who really have an opinion, while the strength of a majority is illusory, formed by the gangs who have no opinion — and who, therefore, in the next instant (when it is evident that the minority is the stronger) assume its opinion… while truth again reverts to a new minority.;Soren Kierkegaard
34;The highest and most beautiful things in life are not to be heard about, nor read about, nor seen but, if one will, are to be lived.;Søren Kierkegaard
35;Many of us pursue pleasure with such breathless haste that we hurry past it.;Søren Kierkegaard
36;It is so hard to believe because it is so hard to obey.;Soren Kierkegaard
37;"It is perhaps the misfortune of my life that I am interested in far too much but not decisively in any one thing; all my interests are not subordinated in one but stand on an equal footing.";Soren Kierkegaard
38;Boredom is the root of all evil - the despairing refusal to be oneself.;Soren Kierkegaard
39;"I have just now come from a party where I was its life and soul; witticisms streamed from my lips, everyone laughed and admired me, but I went away — yes, the dash should be as long as the radius of the earth's orbit ——————————— and wanted to shoot myself.";Søren Kierkegaard
40;Don't you know that a midnight hour comes when everyone has to take off his mask? Do you think life always lets itself be trifled with? Do you think you can sneak off a little before midnight to escape this?;Søren Kierkegaard
41;One must not think slightingly of the paradoxical…for the paradox is the source of the thinker’s passion, and the thinker without a paradox is like a lover without feeling: a paltry mediocrity.;Soren Kierkegaard
42;It is impossible to exist without passion;Søren Kierkegaard
43;There is nothing with which every man is so afraid as getting to know how enormously much he is capable of doing and becoming.;Soren Kierkegaard
44;How absurd men are! They never use the liberties they have, they demand those they do not have. They have freedom of thought, they demand freedom of speech.;Soren Kierkegaard
45;It is the duty of the human understanding to understand that there are things which it cannot understand...;Søren Kierkegaard
46;"If there were no eternal consciousness in a man, if at the bottom of everything there were only a wild ferment, a power that twisting in dark passions produced everything great or inconsequential; if an unfathomable, insatiable emptiness lay hid beneath everything, what would life be but despair?";Soren Kierkegaard,
47;The self-assured believer is a greater sinner in the eyes of God than the troubled disbeliever.;Søren Kierkegaard
48;Listen to the cry of a woman in labor at the hour of giving birth — look at the dying man’s struggle at his last extremity, and then tell me whether something that begins and ends thus could be intended for enjoyment.;Soren Kierkegaard
49;I feel as if I were a piece in a game of chess, when my opponent says of it: That piece cannot be moved.;Soren Kierkegaard
50;Where am I? Who am I? How did I come to be here? What is this thing called the world? How did I come into the world? Why was I not consulted? And If I am compelled to take part in it, where is the director? I want to see him.;Søren Kierkegaard
51;The matter is quite simple. The bible is very easy to understand. But we Christians are a bunch of scheming swindlers. We pretend to be unable to understand it because we know very well that the minute we understand, we are obliged to act accordingly. Take any words in the New Testament and forget everything except pledging yourself to act accordingly. My God, you will say, if I do that my whole life will be ruined. How would I ever get on in the world? Herein lies the real place of Christian scholarship. Christian scholarship is the Church’s prodigious invention to defend itself against the Bible, to ensure that we can continue to be good Christians without the Bible coming too close. Oh, priceless scholarship, what would we do without you? Dreadful it is to fall into the hands of the living God. Yes it is even dreadful to be alone with the New Testament.;Søren Kierkegaard,
52;The thing is to understand myself: the thing is to find a truth which is true for me, to find the idea for which I can live and die. That is what I now recognize as the most important thing.;Søren Kierkegaard
53;Leap of faith – yes, but only after reflection;Soren Kierkegaard
54;...why bother remembering a past that cannot be made into a present?;Søren Kierkegaard,
55;Happiness is the greatest hiding place for despair.;Søren Kierkegaard
56;On the secretly blushing cheek is reflected the glow of the heart;Søren Kierkegaard
57;My sorrow is my castle.;Soren Kierkegaard
