S. No;Quotation;Author;;;;;;;;;;;;;;;;;;
1;Life can only be understood backwards;;;;;;;;;;;;;;;;;;;
2;The function of prayer is not to influence God, but rather to change the nature of the one who prays.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
3;People demand freedom of speech as a compensation for the freedom of thought which they seldom use.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
4;Anxiety is the dizziness of freedom.;Søren Kierkegaard ,;;;;;;;;;;;;;;;;;;
5;People understand me so poorly that they don't even understand my complaint about them not understanding me.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
6;Life is not a problem to be solved, but a reality to be experienced.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
7;There are two ways to be fooled. One is to believe what isn't true;;;;;;;;;;;;;;;;;;;
8;The most common form of despair is not being who you are.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
9;It is perfectly true, as philosophers say, that life must be understood backwards. But they forget the other proposition, that it must be lived forwards.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
10;The greatest hazard of all, losing one’s self, can occur very quietly in the world, as if it were nothing at all. No other loss can occur so quietly;;;;;;;;;;;;;;;;;;;
11;I see it all perfectly;;;;;;;;;;;;;;;;;;;
12;What labels me, negates me.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
13;Marry, and you will regret it;;;;;;;;;;;;;;;;;;;
14;The most painful state of being is remembering the future, particularly the one you'll never have.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
15;The Bible is very easy to understand. But we Christians are a bunch of scheming swindlers. We pretend to be unable to understand it because we know very well that the minute we understand, we are obliged to act accordingly.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
16;In addition to my other numerous acquaintances, I have one more intimate confidant… My depression is the most faithful mistress I have known — no wonder, then, that I return the love.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
17;What is a poet? An unhappy man who hides deep anguish in his heart, but whose lips are so formed that when the sigh and cry pass through them, it sounds like lovely music.... And people flock around the poet and say: 'Sing again soon' - that is, 'May new sufferings torment your soul but your lips be fashioned as before, for the cry would only frighten us, but the music, that is blissful.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
18;A fire broke out backstage in a theatre. The clown came out to warn the public;;;;;;;;;;;;;;;;;;;
19;Love is the expression of the one who loves, not of the one who is loved. Those who think they can love only the people they prefer do not love at all. Love discovers truths about individuals that others cannot see;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
20;What if everything in the world were a misunderstanding, what if laughter were really tears?;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
21;If I were to wish for anything, I should not wish for wealth and power, but for the passionate sense of the potential, for the eye which, ever young and ardent, sees the possible. Pleasure disappoints, possibility never. And what wine is so sparkling, what so fragrant, what so intoxicating, as possibility!;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
22;Once you label me you negate me.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
23;To dare is to lose one's footing momentarily. Not to dare is to lose oneself.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
24;The tyrant dies and his rule is over, the martyr dies and his rule begins.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
25;To venture causes anxiety, but not to venture is to lose one's self.... And to venture in the highest is precisely to be conscious of one's self.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
26;Face the facts of being what you are, for that is what changes what you are.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
27;God creates out of nothing. Wonderful you say. Yes, to be sure, but he does what is still more wonderful: he makes saints out of sinners.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
28;To cheat oneself out of love is the most terrible deception;;;;;;;;;;;;;;;;;;;
29;If anyone on the verge of action should judge himself according to the outcome, he would never begin.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
30;Above all, do not lose your desire to walk. Everyday, I walk myself into a state of well-being & walk away from every illness. I have walked myself into my best thoughts, and I know of no thought so burdensome that one cannot walk away from it. But by sitting still, & the more one sits still, the closer one comes to feeling ill. Thus if one just keeps on walking, everything will be all right.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
31;The proud person always wants to do the right thing, the great thing. But because he wants to do it in his own strength, he is fighting not with man, but with God.;Soren A. Kierkegaard;;;;;;;;;;;;;;;;;;
32;How did I get into the world? Why was I not asked about it and why was I not informed of the rules and regulations but just thrust into the ranks as if I had been bought by a peddling shanghaier of human beings? How did I get involved in this big enterprise called actuality? Why should I be involved? Isn't it a matter of choice? And if I am compelled to be involved, where is the manager—I have something to say about this. Is there no manager? To whom shall I make my complaint?;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
33;Truth always rests with the minority, and the minority is always stronger than the majority, because the minority is generally formed by those who really have an opinion, while the strength of a majority is illusory, formed by the gangs who have no opinion — and who, therefore, in the next instant (when it is evident that the minority is the stronger) assume its opinion… while truth again reverts to a new minority.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
34;The highest and most beautiful things in life are not to be heard about, nor read about, nor seen but, if one will, are to be lived.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
35;Many of us pursue pleasure with such breathless haste that we hurry past it.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
36;It is so hard to believe because it is so hard to obey.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
37;It is perhaps the misfortune of my life that I am interested in far too much but not decisively in any one thing;;;;;;;;;;;;;;;;;;;
38;Boredom is the root of all evil - the despairing refusal to be oneself.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
39;I have just now come from a party where I was its life and soul;;;;;;;;;;;;;;;;;;;
40;Don't you know that a midnight hour comes when everyone has to take off his mask? Do you think life always lets itself be trifled with? Do you think you can sneak off a little before midnight to escape this?;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
41;One must not think slightingly of the paradoxical…for the paradox is the source of the thinker’s passion, and the thinker without a paradox is like a lover without feeling: a paltry mediocrity.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
42;It is impossible to exist without passion;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
43;There is nothing with which every man is so afraid as getting to know how enormously much he is capable of doing and becoming.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
44;How absurd men are! They never use the liberties they have, they demand those they do not have. They have freedom of thought, they demand freedom of speech.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
45;It is the duty of the human understanding to understand that there are things which it cannot understand...;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
46;If there were no eternal consciousness in a man, if at the bottom of everything there were only a wild ferment, a power that twisting in dark passions produced everything great or inconsequential;;;;;;;;;;;;;;;;;;;
47;The self-assured believer is a greater sinner in the eyes of God than the troubled disbeliever.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
48;Listen to the cry of a woman in labor at the hour of giving birth — look at the dying man’s struggle at his last extremity, and then tell me whether something that begins and ends thus could be intended for enjoyment.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
49;I feel as if I were a piece in a game of chess, when my opponent says of it: That piece cannot be moved.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
50;Where am I? Who am I? How did I come to be here? What is this thing called the world? How did I come into the world? Why was I not consulted? And If I am compelled to take part in it, where is the director? I want to see him.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
51;The matter is quite simple. The bible is very easy to understand. But we Christians are a bunch of scheming swindlers. We pretend to be unable to understand it because we know very well that the minute we understand, we are obliged to act accordingly. Take any words in the New Testament and forget everything except pledging yourself to act accordingly. My God, you will say, if I do that my whole life will be ruined. How would I ever get on in the world? Herein lies the real place of Christian scholarship. Christian scholarship is the Church’s prodigious invention to defend itself against the Bible, to ensure that we can continue to be good Christians without the Bible coming too close. Oh, priceless scholarship, what would we do without you? Dreadful it is to fall into the hands of the living God. Yes it is even dreadful to be alone with the New Testament.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
52;The thing is to understand myself: the thing is to find a truth which is true for me, to find the idea for which I can live and die. That is what I now recognize as the most important thing.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
53;Leap of faith – yes, but only after reflection;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
54;...why bother remembering a past that cannot be made into a present?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
55;Happiness is the greatest hiding place for despair.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
56;On the secretly blushing cheek is reflected the glow of the heart;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
57;My sorrow is my castle.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
58;It is very important in life to know when your cue comes.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
59;Take away paradox from the thinker and you have a professor.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
60;I stick my finger into existence and it smells of nothing.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
61;I have only one friend, and that is echo. Why is it my friend? Because I love my sorrow, and echo does not take it away from me. I have only one confidant, and that is the silence of night. Why is it my confidant? Because it remains silent.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
62;A 'no' does not hide anything, but a 'yes' very easily becomes a deception.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
63;Once you are born in this world you’re old enough to die.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
64;Every mental act is composed of doubt and belief,but it is belief that is the positive, it is beliefthat sustains thought and holds the world together.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
65;And this is one of the most crucial definitions for the whole of Christianity;;;;;;;;;;;;;;;;;;;
66;The self is a relation which relates itself to its own self, or it is that in the relation that the relation relates itself to its own self;;;;;;;;;;;;;;;;;;;
67;Hope is a passion for the possible.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
68;Do you not know that there comes a midnight hour when every one has to throw off his mask? Do you believe that life will always let itself be mocked? Do you think you can slip away a little before midnight in order to avoid this? Or are you not terrified by it? I have seen men in real life who so long deceived others that at last their true nature could not reveal itself;;;;;;;;;;;;;;;;;;;
69;Idleness, we are accustomed to say, is the root of all evil. To prevent this evil, work is recommended.... Idleness as such is by no means a root of evil;;;;;;;;;;;;;;;;;;;
70;My melancholy is the most faithful sweetheart I have had.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
71;Never cease loving a person, and never give up hope for him, for even the prodigal son who had fallen most low, could still be saved;;;;;;;;;;;;;;;;;;;
72;When I was young, I forgot how to laugh in the cave of Trophonius;;;;;;;;;;;;;;;;;;;
73;Therefore do not deceive yourself! Of all deceivers fear most yourself!;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
74;If you want to be loathsome to God, just run with the herd.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
75;Now, with God's help, I shall become myself.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
76;What is talkativeness? It is the result of doing away with the vital distinction between talking and keeping silent. Only some one who knows how to remain essentially silent can really talk--and act essentially. Silence is the essence of inwardness, of the inner life. Mere gossip anticipates real talk, and to express what is still in thought weakens action by forestalling it. But some one who can really talk, because he knows how to remain silent, will not talk about a variety of things but about one thing only, and he will know when to talk and when to remain silent. Where mere scope is concerned, talkativeness wins the day, it jabbers on incessantly about everything and nothing...In a passionate age great events (for they correspond to each other) give people something to talk about. And when the event is over, and silence follows, there is still something to remember and to think about while one remains silent. But talkativeness is afraid of the silence which reveals its emptiness.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
77;The task must be made difficult, for only the difficult inspires the noble-hearted.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
78;My standpoint is armed neutrality.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
79;You love the accidental. A smile from a pretty girl in an interesting situation, a stolen glance, that is what you are hunting for, that is a motif for your aimless fantasy. You who always pride yourself on being an observateur must, in return, put up with becoming an object of observation. Ah, you are a strange fellow, one moment a child, the next an old man;;;;;;;;;;;;;;;;;;;
80;What I really need is to get clear about what I must do, not what I must know, except insofar as knowledge must precede every act. What matters is to find a purpose, to see what it really is that God wills that I shall do;;;;;;;;;;;;;;;;;;;
81;The only intelligent tactical response to life’s horror is to laugh defiantly at it;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
82;The difference between an admirer and a follower still remains, no matter where you are. The admirer never makes any true sacrifices. He always plays it safe. Though in words, phrases, songs, he is inexhaustible about how highly he prizes Christ, he renounces nothing, gives up nothing, will not reconstruct his life, will not be what he admires, and will not let his life express what it is he supposedly admires.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
83;The present state of the world and the whole of life is diseased. If I were a doctor and were asked for my advice, I should reply, 'Create silence'.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
84;What looks like politics, and imagines itself to be political, will one day unmask itself as a religious movement.;Soren Kieregaaard;;;;;;;;;;;;;;;;;;
85;Your own tactic is to train yourself in the art of becoming enigmatic to everybody. My young friend, suppose there was no one who troubld himself to guess your riddle--what joy, then, would you have in it?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
86;The same thing happened to me that, according to legend, happened to Parmeniscus, who in the Trophonean cave lost the ability to laugh but acquired it again on the island of Delos upon seeing a shapeless block that was said to be the image of the goddess Leto. When I was very young, I forgot in the Trophonean cave how to laugh;;;;;;;;;;;;;;;;;;;
87;It belongs to the imperfection of everything human that man can only attain his desire by passing through its opposite.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
88;to have faith is precisely to lose one's mind so as to win God.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
89;I am convinced that God is love, this thought has for me a primitive lyrical validity. When it is present to me, I am unspeakably blissful, when it is absent, I long for it more vehemently than does the lover for his object.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
90;Adversity draws men together and produces beauty and harmony in life's relationships, just as the cold of winter produces ice-flowers on the window-panes, which vanish with the warmth.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
91;My melancholy is the most faithful mistress I have known;;;;;;;;;;;;;;;;;;;
92;In my great melancholy, I loved life, for I love my melancholy.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
93;When I was very young and in the cave of Trophonius I forgot to laugh. Then, when I got older, when I opened my eyes and saw the real world, I began to laugh and I haven’t stopped since. I saw that the meaning of life was to get a livelihood, that the goal of life was to be a High Court judge, that the bright joy of love was to marry a well-off girl, that the blessing of friendship was to help each other out of a financial tight spot, that wisdom was what the majority said it was, that passion was to give a speech, that courage was to risk being fined 10 rix-dollars, that cordiality was to say ‘You’re welcome’ after a meal, and that the fear of God was to go to communion once a year. That’s what I saw. And I laughed.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
94;No! No one who was great in the world will be forgotten, but everyone was great in his own way, and everyone in proportion to the greatness of that which he loved. He who loved himself became great by virtue of himself, and he who loved other men became great by his devotedness, but he who loved God became the greatest of all. Everyone shall be remembered, but everyone became great in proportion to his expectancy. One became great by expecting the possible, another by expecting the eternal;;;;;;;;;;;;;;;;;;;
95;I have the courage, I believe, to doubt everything;;;;;;;;;;;;;;;;;;;
96;If anyone on the verge of action should judge himself according to the outcome, he would never begin. Even though the result may gladden the whole world, that cannot help the hero;;;;;;;;;;;;;;;;;;;
97;What is existence for but to be laughed at if men in their twenties have already attained the utmost?;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
98;If you marry, you will regret it;;;;;;;;;;;;;;;;;;;
99;With every increase in the degree of consciousness, and in proportion to that increase, the intensity of despair increases: the more consciousness the more intense the despair;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
100;آیا مضحک تر از این مردم یافت می شود; که هیچ وقت از آزادی ای که دارند استفاده نمی کنند; اما آزادی ای که ندارند را می طلبند؟آن ها آزادی اندیشه دارند; و آزادی بیان می طلبند. آزادی بیان می طلبند تا جبرانی باشد برای آزادی اندیشه ای که تقریباً هیچ وقت به کارش نمی برند.;Søren Kierkegaard,;;;;;;;;;;;;;;;
101;"A strange thing happened to me in my dream. I was rapt into the Seventh Heaven. There sat all the gods assembled. As a special dispensation I was granted the favor to have one wish. ""Do you wish for youth,"" said Mercury, ""or for beauty, or power, or a long life";;;;;;;;;;;;;;;;;;;
